"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ZEEL","EQ","01-Mar-2018","        565.35","        563.95","        568.90","        551.60","        553.00","        555.40","        560.65","    1671540","           937153940.70","      51164","    1150433","         68.82"
"ZEEL","P2","01-Mar-2018","         10.05","          8.25","          8.25","          7.80","          7.85","          7.85","          7.89","     300071","             2367882.60","         46","     122977","         40.98"
"ZEEL","EQ","05-Mar-2018","        555.40","        554.90","        557.60","        546.95","        550.70","        551.85","        552.20","    1269210","           700857367.35","      49274","     625219","         49.26"
"ZEEL","P2","05-Mar-2018","          7.85","          7.90","          7.90","          7.80","          7.85","          7.85","          7.85","    2482583","            19486257.70","         79","    2442526","         98.39"
"ZEEL","EQ","06-Mar-2018","        551.85","        554.50","        569.50","        553.70","        556.25","        559.50","        563.41","    2853083","          1607457342.60","     106318","    1644898","         57.65"
"ZEEL","P2","06-Mar-2018","          7.85","          7.90","          7.90","          7.80","          7.80","          7.80","          7.81","     498195","             3893221.60","         29","     306187","         61.46"
"ZEEL","EQ","07-Mar-2018","        559.50","        562.40","        568.70","        556.00","        564.90","        565.10","        564.07","    2115998","          1193567668.05","      45809","    1150585","         54.38"
"ZEEL","P2","07-Mar-2018","          7.80","          7.80","          7.85","          7.80","          7.85","          7.85","          7.85","     234415","             1840119.60","         22","     234415","        100.00"
"ZEEL","EQ","08-Mar-2018","        565.10","        565.90","        570.00","        560.25","        561.65","        563.50","        565.03","    1291874","           729953249.05","      37069","     540601","         41.85"
"ZEEL","P2","08-Mar-2018","          7.85","          7.85","          7.85","          7.80","          7.85","          7.85","          7.82","    1448903","            11327577.80","         44","    1448903","        100.00"
"ZEEL","EQ","09-Mar-2018","        563.50","        566.00","        572.50","        564.90","        569.15","        568.50","        569.31","    1112161","           633159463.95","      27776","     489877","         44.05"
"ZEEL","P2","09-Mar-2018","          7.85","          7.85","          7.85","          7.80","          7.85","          7.80","          7.85","     329827","             2589030.35","         24","     329827","        100.00"
"ZEEL","EQ","12-Mar-2018","        568.50","        575.00","        578.00","        565.10","        577.80","        576.25","        571.77","     894309","           511339324.95","      22873","     410522","         45.90"
"ZEEL","P2","12-Mar-2018","          7.80","          7.90","          7.90","          7.80","          7.85","          7.85","          7.85","     758295","             5952207.20","         32","     757295","         99.87"
"ZEEL","EQ","13-Mar-2018","        576.25","        572.00","        580.35","        570.25","        576.60","        579.15","        575.65","    1279371","           736464889.65","      42009","     697598","         54.53"
"ZEEL","P2","13-Mar-2018","          7.85","          7.80","          7.85","          7.80","          7.85","          7.85","          7.84","      44679","              350314.15","         15","      44679","        100.00"
"ZEEL","EQ","14-Mar-2018","        579.15","        574.55","        581.85","        570.90","        577.05","        576.60","        575.05","     844455","           485602618.40","      14042","     374652","         44.37"
"ZEEL","P2","14-Mar-2018","          7.85","          7.85","          7.85","          7.80","          7.85","          7.85","          7.82","      89112","              696754.15","         23","      89112","        100.00"
"ZEEL","EQ","15-Mar-2018","        576.60","        577.05","        578.60","        568.60","        570.40","        570.40","        572.34","     948246","           542722054.20","      22194","     450073","         47.46"
"ZEEL","P2","15-Mar-2018","          7.85","          7.80","          7.85","          7.80","          7.80","          7.80","          7.84","       7753","               60745.30","         16","       7753","        100.00"
"ZEEL","EQ","16-Mar-2018","        570.40","        570.40","        580.95","        569.10","        570.05","        570.35","        572.05","    2562954","          1466147991.10","      58281","    1789738","         69.83"
"ZEEL","P2","16-Mar-2018","          7.80","          7.85","          7.85","          7.80","          7.85","          7.85","          7.85","      56328","              442053.45","         20","      56328","        100.00"
"ZEEL","EQ","19-Mar-2018","        570.35","        574.00","        574.00","        563.70","        567.70","        566.45","        567.30","    1501099","           851570164.35","      30390","     933907","         62.21"
"ZEEL","P2","19-Mar-2018","          7.85","          7.80","          7.85","          7.80","          7.85","          7.85","          7.85","    1002340","             7868313.00","         14","    1001220","         99.89"
"ZEEL","EQ","20-Mar-2018","        566.45","        567.45","        577.05","        562.00","        574.80","        575.10","        569.51","    1329829","           757349620.15","      18852","     693551","         52.15"
"ZEEL","P2","20-Mar-2018","          7.85","          7.85","          7.85","          7.80","          7.85","          7.85","          7.85","     125749","              987004.25","         14","     125749","        100.00"
"ZEEL","EQ","21-Mar-2018","        575.10","        579.80","        579.80","        564.75","        569.15","        566.85","        570.37","    1232152","           702781328.05","      27709","     736983","         59.81"
"ZEEL","P2","21-Mar-2018","          7.85","          7.80","          7.85","          7.80","          7.85","          7.85","          7.85","     506595","             3976610.15","         23","     503383","         99.37"
"ZEEL","EQ","22-Mar-2018","        566.85","        569.65","        576.95","        553.80","        560.00","        559.20","        564.41","    2725681","          1538399469.65","      51242","    1711715","         62.80"
"ZEEL","P2","22-Mar-2018","          7.85","          7.80","          7.90","          7.80","          7.85","          7.85","          7.86","     328645","             2582396.05","         25","     305511","         92.96"
"ZEEL","EQ","23-Mar-2018","        559.20","        555.50","        572.35","        551.40","        570.10","        569.40","        563.77","    2132211","          1202069650.80","      48022","    1162230","         54.51"
"ZEEL","P2","23-Mar-2018","          7.85","          7.85","          7.95","          7.85","          7.95","          7.95","          7.95","     601718","             4783501.45","         24","     601718","        100.00"
"ZEEL","EQ","26-Mar-2018","        569.40","        569.95","        590.00","        567.30","        590.00","        585.85","        580.13","    1384646","           803280515.95","      34117","     490742","         35.44"
"ZEEL","P2","26-Mar-2018","          7.95","          7.95","          8.10","          7.95","          8.10","          7.95","          7.95","     841326","             6688562.90","         80","     841176","         99.98"
"ZEEL","EQ","27-Mar-2018","        585.85","        588.25","        597.00","        583.60","        590.70","        586.50","        591.68","    1852675","          1096189166.30","      59517","     880611","         47.53"
"ZEEL","P2","27-Mar-2018","          7.95","          7.60","          7.60","          7.45","          7.55","          7.55","          7.53","     149718","             1126875.85","         35","     111161","         74.25"
"ZEEL","EQ","28-Mar-2018","        586.50","        584.50","        588.80","        573.00","        579.10","        575.50","        578.93","    2085254","          1207214560.20","      37214","    1159434","         55.60"
"ZEEL","P2","28-Mar-2018","          7.55","          7.50","          7.60","          7.45","          7.60","          7.60","          7.60","     134548","             1022103.30","         20","     134548","        100.00"
"ZEEL","EQ","02-Apr-2018","        575.50","        577.30","        581.60","        573.35","        581.00","        578.95","        576.16","    1225071","           705832929.00","      38934","     771304","         62.96"
"ZEEL","P2","02-Apr-2018","          7.60","          7.65","          7.65","          7.45","          7.60","          7.60","          7.60","     654460","             4973611.30","         22","     652572","         99.71"
"ZEEL","EQ","03-Apr-2018","        578.95","        581.00","        586.50","        569.20","        580.10","        581.55","        576.62","    1568079","           904181574.75","      33313","     604703","         38.56"
"ZEEL","P2","03-Apr-2018","          7.60","          7.50","          7.60","          7.50","          7.55","          7.60","          7.56","       1966","               14856.20","          9","       1966","        100.00"
"ZEEL","EQ","04-Apr-2018","        581.55","        585.95","        586.90","        573.00","        574.45","        574.45","        581.36","    1035604","           602062972.35","      45985","     494267","         47.73"
"ZEEL","P2","04-Apr-2018","          7.60","          7.55","          7.70","          7.55","          7.70","          7.70","          7.65","      25627","              195994.00","          9","      25627","        100.00"
"ZEEL","EQ","05-Apr-2018","        574.45","        577.10","        588.90","        577.10","        586.00","        586.10","        584.42","     496158","           289963046.00","      19822","     178218","         35.92"
"ZEEL","P2","05-Apr-2018","          7.70","          7.60","          7.60","          7.55","          7.55","          7.55","          7.55","       5615","               42399.35","          6","       5615","        100.00"
"ZEEL","EQ","06-Apr-2018","        586.10","        586.10","        588.65","        581.60","        583.25","        584.50","        584.44","     704908","           411979420.20","      23409","     239164","         33.93"
"ZEEL","P2","06-Apr-2018","          7.55","          7.70","          7.70","          7.55","          7.55","          7.55","          7.55","      28461","              214916.85","         16","      28361","         99.65"
"ZEEL","EQ","09-Apr-2018","        584.50","        585.00","        589.90","        570.35","        572.00","        571.80","        575.52","    1633939","           940364302.85","      53568","     858737","         52.56"
"ZEEL","P2","09-Apr-2018","          7.55","          7.55","          7.65","          7.55","          7.65","          7.65","          7.56","      14975","              113172.25","         14","      14975","        100.00"
"ZEEL","EQ","10-Apr-2018","        571.80","        578.90","        578.90","        569.25","        573.75","        573.75","        573.26","     984946","           564625789.95","      50394","     390843","         39.68"
"ZEEL","P2","10-Apr-2018","          7.65","          7.65","          7.65","          7.55","          7.60","          7.60","          7.64","      14601","              111571.45","          9","      12601","         86.30"
"ZEEL","EQ","11-Apr-2018","        573.75","        575.00","        577.80","        569.95","        574.50","        575.20","        571.71","    2447568","          1399298571.35","      46602","    1703771","         69.61"
"ZEEL","P2","11-Apr-2018","          7.60","          7.70","          7.75","          7.55","          7.60","          7.60","          7.65","     131696","             1007383.35","         17","     131665","         99.98"
"ZEEL","EQ","12-Apr-2018","        575.20","        575.45","        581.00","        570.25","        572.00","        571.25","        573.77","    1018165","           584187578.65","      31259","     447141","         43.92"
"ZEEL","P2","12-Apr-2018","          7.60","          7.55","          7.60","          7.55","          7.60","          7.60","          7.60","       7660","               58197.80","         13","       7660","        100.00"
"ZEEL","EQ","13-Apr-2018","        571.25","        573.45","        577.90","        571.95","        574.95","        575.95","        575.30","    1152067","           662787433.35","      46664","     612960","         53.21"
"ZEEL","P2","13-Apr-2018","          7.60","          7.60","          7.70","          7.60","          7.60","          7.60","          7.66","      72223","              552927.45","         13","      70653","         97.83"
"ZEEL","EQ","16-Apr-2018","        575.95","        573.90","        581.55","        573.65","        579.05","        578.10","        576.84","    1007968","           581432564.75","      27960","     595413","         59.07"
"ZEEL","P2","16-Apr-2018","          7.60","          7.60","          7.65","          7.60","          7.65","          7.65","          7.61","        606","                4608.90","          8","        606","        100.00"
"ZEEL","EQ","17-Apr-2018","        578.10","        580.00","        580.05","        573.70","        575.25","        575.45","        575.23","     950334","           546663265.30","      41584","     582032","         61.24"
"ZEEL","P2","17-Apr-2018","          7.65","          7.60","          7.65","          7.60","          7.60","          7.60","          7.65","     302623","             2315005.50","         18","     302623","        100.00"
"ZEEL","EQ","18-Apr-2018","        575.45","        577.00","        594.95","        575.30","        588.25","        588.25","        589.50","    2090582","          1232390237.25","      59275","     587603","         28.11"
"ZEEL","P2","18-Apr-2018","          7.60","          7.60","          7.70","          7.60","          7.60","          7.60","          7.65","      80544","              616150.15","         18","      79838","         99.12"
"ZEEL","EQ","19-Apr-2018","        588.25","        593.00","        598.70","        590.05","        592.65","        592.90","        594.66","    1580356","           939780114.30","      35329","     799546","         50.59"
"ZEEL","P2","19-Apr-2018","          7.60","          7.60","          7.65","          7.60","          7.60","          7.60","          7.65","     132557","             1013968.75","         14","     132557","        100.00"
